Title,Location,Company,Salary_per_year,Summary
Ingénieur.e Vérification ASIC/SoC H/F,Sophia Antipolis (06),CELAD,None,"Avec plus de 25 ans d’existence, CELAD est une société de conseil et d’ingénierie informatique de plus de 1300 collaborateurs au CA approchant les 100 millions…"
DIGITAL DESIGN ENGINEER F/M,Sèvres (92),NanoXplore,None,NanoXplore is a pioneer in design and development of space-grade FPGA and e-FPGA located in Paris and.
FPGA Digital Design Engineer,Sophia Antipolis (06),IC Resources,None,"Salary: €50,000- €80,000 with excellent benefits."
Ingénieur(e) en Conception Numérique RTL H/F,Grenoble (38),EASii IC,None,Prendre en charge la conception d'IPS et ou de SOC/ASICS digital/mixtes. :
Silicon validation engineer,Caen (14),SCALINX,None,Job Title Silicon validation engineer.
Ingénieur(e) en Implémentation Physique H/F,Villeneuve-Loubet (06),EASii IC,None,"Intégré(e) au sein de l’équipe d’Implémentation physique numérique de notre Design House ASIC, vous aurez en charge tout ou partie de l’implémentation physique …"
Lead Application Engineer SCBU,France,ANSYS,None,"Ansys is the global leader in engineering simulation, helping the world's most innovative companies deliver radically better products to their customers."
INGENIEUR(E) EN MICROELECTRONIQUE SPECIALISE(E) en STA F/H,Grenoble (38),EASII IC SAS,None,"Dans le cadre de notre croissance sur de nouveaux marchés, vous ferez partie de notre Design House ASIC et intégrerez l’équipe d'analyse statique de timing (STA…"
INGENIEUR SIMULATION EMULATION ASIC H/F,Toulouse (31),FORCE INTERIM,None,La société FORCE INTERIM accompagne des donneurs d’ordres de tout secteur et est spécialisée dans le domaine du travail temporaire et du recrutement.
Ingénieur(e) Vérification Emulation ASIC /FPGoC (H/F),Toulouse (31),Derichebourg Aeronautics Recruitment,None,"Nous recherchons pour notre client, un groupe international opérant dans les domaines de l'aérospatial un Ingénieur Vérification Emulation ASIC/FPGA/SoC H/F."
Ingénieur(e) Conception FPGA Confirmé(e) H/F,Toulouse (31),LGM Group,None,"LGM Ingénierie, filiale du Groupe LGM (1 400 collaborateurs), est une société spécialisée dans l’étude, la conception, le développement, la qualification et la…"
Ingénieur(e) Conception FPGA H/F - Toulouse,Toulouse (31),LGM Group,None,"LGM Ingénierie, filiale du Groupe LGM (1 400 collaborateurs), est une société spécialisée dans l’étude, la conception, le développement, la qualification et la…"
