Title,Location,Company,Salary_per_year,Summary
Responsable de Projet FPGA (F/H) — 102020/PST/KQN,Toulouse (31),SERMA INGENIERIE,None,"Le groupe SERMA (CA de 140M€, plus de 1300 collaborateurs), dans le cadre du fort développement de sa filiale SERMA Ingénierie, recherche aujourd’hui à…"
Embedded system engineer,Marseille (13),WitMonki,30000,INGÉNIEUR SYSTEMES EMBARQUES H/F.
Experienced CPU Microarchitect Engineer,Sophia Antipolis (06),Arm,None,"We are an Equal Opportunity Employer and do not discriminate against any employee or applicant for employment because of race, color, sex, age, national origin,…"
INGENIEUR SIMULATION EMULATION ASIC F/H,Toulouse (31),SAS FORCE INTERIM,None,"Nous recherchons pour l'un de nos clients basé sur TOULOUSE, un(e) Ingénieur simulation/émulation ASIC h/f."
Ingénieur design RTL F/H,Valbonne (06),SOCIETE POUR L'INFORMATIQUE INDUSTRIELLE,None,"Nous recherchons pour notre agence de Sophia Antipolis, un Ingénieur design RTL."
INGENIEUR SIMULATION EMULATION ASIC H/F,Toulouse (31),FORCE INTERIM,None,La société FORCE INTERIM accompagne des donneurs d’ordres de tout secteur et est spécialisée dans le domaine du travail temporaire et du recrutement.
Développeur C++ systèmes embarqués (H/F) réf TOU07DEV,Tournon-sur-Rhône (07),"Valexane, Cabinet de recrutement",34000,Nous représentons une entreprise à taille humaine qui développe et fabrique depuis plus de 25 ans des outils de test pour le marché des télécommunications.
Ingénieurs en Microélectronique Confirmés H/F,Sophia Antipolis (06),ASTEK,None,"Dans le cadre du développement de nos activités dans la région PACA, notre client dans le domaine de l’électronique embarquée au sein de véhicules recherche des…"
DIGITAL DESIGN ENGINEER F/M,Sèvres (92),NanoXplore,None,NanoXplore is a pioneer in design and development of space-grade FPGA and e-FPGA located in Paris and.
FPGA Digital Design Engineer,Sophia Antipolis (06),IC Resources,None,"Salary: €50,000- €80,000 with excellent benefits."
Stage Bac+5 - Ingénieur développement FPGA & Intégration processeur RISC-V F/H,Cholet (49),Thales Group,None,"Thales propose des systèmes d’information et de communication sécurisés et interopérables pour les forces armées, les forces de sécurité et les opérateurs d…"
Développeur C / C++ & Scrum Master F/H,Clamart (92),Sogetek,None,SOGETEK Informatique développe son savoir-faire dans l’informatique industrielle et technique.
Lead C/ C++ & Scrum Master H/F,Paris 17e (75),Sogetek,None,Depuis plus de 33 ans SOGETEK Informatique développe son savoir-faire dans l’informatique industrielle et technique.
Designer FPGA,Bordeaux (33),Technology & Strategy,None,Technology & Strategy is a Franco-German development partner for technology solutions.
Ingénieur Electronique H/F,Nantes (44),AKKA TECHNOLOGIES,None,"Nous recherchons un Ingénieur Electronique (F/H) pour nous rejoindre et intégrer un projet à la pointe de l’innovation en milieu industriel, à Nantes (44)."
Ingénieur FPGA Test & Caractérisation,Saint-Cloud (92),Sept Lieues,40000,Entreprise pionnière dans le développement et l'intégration d'architecture FPGA à destination des secteurs du spatial et de la défense.
Graduate Verification Engineer,Sophia Antipolis (06),Arm,None,"We are an Equal Opportunity Employer and do not discriminate against any employee or applicant for employment because of race, color, sex, age, national origin,…"
INGÉNIEUR ELECTRONIQUE TEST ET INTÉGRATION (H/F),Toulon (83),Fortil,None,"Rattaché au Pôle Etudes Electroniques, vous intervenez dans le cadre de la caractérisation et qualification de cartes électroniques et de sous-ensembles…"
Verification Engineer,Paris (75),IC Resources,None,"Salary: €40,000 - €60,000."
Ingénieur conception d'ASIC F/H - 102020/PSR/SOZ,Grenoble (38),Serma Ingénierie,40000,"Dans le cadre du développement de notre activité, nous recherchons à renforcer nos équipes en intégrant un Ingénieur en conception d’ASIC H/F."
Algorithm Research Engineer in Digital Communication Field,Houville-la-Branche (28),Navtel Systems,None,"Development of algorithms for digital communication [Satellite, Aero and UAV severe environments]."
